Анализ характеристик крылатого объекта
Время расчета: 2025-10-26 22:54:32

Параметры расчета:
Масса_кг,2400
Размах_крыла_м,3.0
Хорда_м,0.6
Площадь_крыла_м2,1.7999999999999998
Удлинение_крыла,5.0
Тяга_на_уровне_моря_кгс,450
Удельный_расход_топлива_кг_кгс_ч,0.71
Угол_стреловидности_град,8
Угол_атаки_град,10
Коэффициент_Освальда,0.85
Диапазон_высот_м,100 - 990
Диапазон_скоростей_мс,190.0 - 220.0
Диапазон_CD0,0.100 - 0.340
Оптимальная_высота_для_графиков_м,990

Результаты расчетов:
Высота_м,Скорость_мс,Число_Маха,Коэф_подъемной_силы_CL,Коэф_сопротивления_CD,CD0,Подъемная_сила_Н,Сопротивление_Н,Требуемая_тяга_Н,Требуемая_тяга_кгс,Доступная_тяга_кгс,Доступная_тяга_Н,Расход_топлива_кгч,Требуемая_тяговооруженность,Доступная_тяговооруженность,Число_Рейнольдса,Плотность_воздуха_кгм3,Скорость_звука_мс,Температура_K,Давление_Па,Вес_Н,Удлинение_крыла,Площадь_крыла_м2,Возможность_полета
110,196.42857142857142,0.5779443044173477,0.7959816018942749,0.22745339146448518,0.18,33503.586932315404,9573.719362162505,9573.719362162505,976.2476852097817,369.2299711617289,3620.9090966931685,262.1532795248275,0.40678391532048763,0.15385113388572458,7999234.141755549,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,196.42857142857142,0.5779443044173477,0.7959816018942749,0.3074533914644852,0.26,33503.586932315404,12940.99185716326,12940.99185716326,1319.6139208764728,369.2299711617289,3620.9090966931685,262.1532795248275,0.5498581206163902,0.15385113388572458,7999234.141755549,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,196.42857142857142,0.5779443044173477,0.7959816018942749,0.38745339146448515,0.33999999999999997,33503.586932315404,16308.264352164013,16308.264352164013,1662.9801565431635,369.2299711617289,3620.9090966931685,262.1532795248275,0.6929323259122925,0.15385113388572458,7999234.141755549,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,198.57142857142858,0.5842491513746279,0.7999823707789214,0.1479316114748201,0.1,34410.65160989515,6363.1691528326955,6363.1691528326955,648.8626751064529,368.3851037271178,3612.623777465539,261.55342364625363,0.27036878395098063,0.15349909363181705,8086498.514211065,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,198.57142857142858,0.5842491513746279,0.7999823707789214,0.22793161147482008,0.18,34410.65160989515,9804.310144616344,9804.310144616344,999.7614011529263,368.3851037271178,3612.623777465539,261.55342364625363,0.41658163528438263,0.15349909363181705,8086498.514211065,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,198.57142857142858,0.5842491513746279,0.7999823707789214,0.30793161147482007,0.26,34410.65160989515,13245.45113639999,13245.45113639999,1350.6601271993995,368.3851037271178,3612.623777465539,261.55342364625363,0.5627944866177845,0.15349909363181705,8086498.514211065,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,198.57142857142858,0.5842491513746279,0.7999823707789214,0.38793161147482,0.33999999999999997,34410.65160989515,16686.592128183638,16686.592128183638,1701.5588532458728,368.3851037271178,3612.623777465539,261.55342364625363,0.7090073379511865,0.15349909363181705,8086498.514211065,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,200.71428571428572,0.590553998331908,0.8041063422181949,0.14842706763112212,0.1,35338.57358772782,6523.018880094561,6523.018880094561,665.1628109593553,367.5402362925068,3604.3384582379117,260.95356776767983,0.2771607417532413,0.1531470533779096,8173762.88666658,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,200.71428571428572,0.590553998331908,0.8041063422181949,0.22842706763112214,0.18,35338.57358772782,10038.82983517231,10038.82983517231,1023.6757542251747,367.5402362925068,3604.3384582379117,260.95356776767983,0.4265462931498662,0.1531470533779096,8173762.88666658,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,200.71428571428572,0.590553998331908,0.8041063422181949,0.30842706763112215,0.26,35338.57358772782,13554.640790250058,13554.640790250058,1382.1886974909942,367.5402362925068,3604.3384582379117,260.95356776767983,0.575931844546491,0.1531470533779096,8173762.88666658,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,200.71428571428572,0.590553998331908,0.8041063422181949,0.3884270676311221,0.33999999999999997,35338.57358772782,17070.451745327802,17070.451745327802,1740.7016407568133,367.5402362925068,3604.3384582379117,260.95356776767983,0.7253173959431158,0.1531470533779096,8173762.88666658,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,202.85714285714286,0.5968588452891882,0.8083579574353645,0.14894052602511193,0.1,36288.021165220875,6686.093593865006,6686.093593865006,681.7918039152011,366.6953688578957,3596.0531390102824,260.3537118891059,0.284089728080069,0.15279501312400207,8261027.259122096,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,202.85714285714286,0.5968588452891882,0.8083579574353645,0.22894052602511192,0.18,36288.021165220875,10277.37597874806,10277.37597874806,1048.0006912399301,366.6953688578957,3596.0531390102824,260.3537118891059,0.43668203356564,0.15279501312400207,8261027.259122096,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,202.85714285714286,0.5968588452891882,0.8083579574353645,0.3089405260251119,0.26,36288.021165220875,13868.658363631112,13868.658363631112,1414.2095785646588,366.6953688578957,3596.0531390102824,260.3537118891059,0.589274339051211,0.15279501312400207,8261027.259122096,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,202.85714285714286,0.5968588452891882,0.8083579574353645,0.38894052602511187,0.33999999999999997,36288.021165220875,17459.940748514164,17459.940748514164,1780.4184658893878,366.6953688578957,3596.0531390102824,260.3537118891059,0.741866644536782,0.15279501312400207,8261027.259122096,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,205.0,0.6031636922464683,0.8127419147519417,0.14947280251700396,0.1,37259.69877125914,6852.497078336721,6852.497078336721,698.7602370163839,365.8505014232847,3587.7678197826544,259.7538560105321,0.2911601526847324,0.1524429728700946,8348291.63157761,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,205.0,0.6031636922464683,0.8127419147519417,0.22947280251700394,0.18,37259.69877125914,10520.052359536287,10520.052359536287,1072.7467952395862,365.8505014232847,3587.7678197826544,259.7538560105321,0.4469932662849729,0.1524429728700946,8348291.63157761,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,205.0,0.6031636922464683,0.8127419147519417,0.30947280251700393,0.26,37259.69877125914,14187.607640735852,14187.607640735852,1446.7333534627883,365.8505014232847,3587.7678197826544,259.7538560105321,0.6028263798852134,0.1524429728700946,8348291.63157761,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,205.0,0.6031636922464683,0.8127419147519417,0.3894728025170039,0.33999999999999997,37259.69877125914,17855.162921935414,17855.162921935414,1820.7199116859902,365.8505014232847,3587.7678197826544,259.7538560105321,0.7586594934854537,0.1524429728700946,8348291.63157761,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,207.14285714285714,0.6094685392037484,0.8172631879203721,0.1500247667142416,0.1,38254.34950573585,7022.339859705338,7022.339859705338,716.0793807982684,365.00563398867365,3579.482500555026,259.1540001319583,0.29837671178579656,0.15209093261618709,8435556.004033126,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,207.14285714285714,0.6094685392037484,0.8172631879203721,0.23002476671424157,0.18,38254.34950573585,10766.969503732624,10766.969503732624,1097.9253367595074,365.00563398867365,3579.482500555026,259.1540001319583,0.45748468752642985,0.15209093261618709,8435556.004033126,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,207.14285714285714,0.6094685392037484,0.8172631879203721,0.3100247667142416,0.26,38254.34950573585,14511.599147759913,14511.599147759913,1479.771292720747,365.00563398867365,3579.482500555026,259.1540001319583,0.6165926632670633,0.15209093261618709,8435556.004033126,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,207.14285714285714,0.6094685392037484,0.8172631879203721,0.3900247667142416,0.33999999999999997,38254.34950573585,18256.228791787194,18256.228791787194,1861.6172486819858,365.00563398867365,3579.482500555026,259.1540001319583,0.7757006390076965,0.15209093261618709,8435556.004033126,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,209.28571428571428,0.6157733861610286,0.821927046124036,0.15059734634377725,0.1,39272.75790646063,7195.739758418946,7195.739758418946,733.761249602968,364.1607665540626,3571.1971813273976,258.55414425338444,0.30574441153200727,0.15173889236227958,8522820.37648864,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,209.28571428571428,0.6157733861610286,0.821927046124036,0.23059734634377724,0.18,39272.75790646063,11018.245231785157,11018.245231785157,1123.5483301418076,364.1607665540626,3571.1971813273976,258.55414425338444,0.4681613034387566,0.15173889236227958,8522820.37648864,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,209.28571428571428,0.6157733861610286,0.821927046124036,0.3105973463437773,0.26,39272.75790646063,14840.750705151371,14840.750705151371,1513.3354106806476,364.1607665540626,3571.1971813273976,258.55414425338444,0.6305781953455062,0.15173889236227958,8522820.37648864,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,209.28571428571428,0.6157733861610286,0.821927046124036,0.39059734634377724,0.33999999999999997,39272.75790646063,18663.256178517582,18663.256178517582,1903.122491219487,364.1607665540626,3571.1971813273976,258.55414425338444,0.7929950872522556,0.15173889236227958,8522820.37648864,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,211.42857142857142,0.6220782331183088,0.8267390758239844,0.15119153206374938,0.1,40315.75296552967,7372.822496731495,7372.822496731495,751.8186635325515,363.31589911945156,3562.911862099769,257.9542883748106,0.3132685938170185,0.1513868521083721,8610084.748944154,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,211.42857142857142,0.6220782331183088,0.8267390758239844,0.23119153206374937,0.18,40315.75296552967,11274.00526594784,11274.00526594784,1149.6285954885554,363.31589911945156,3562.911862099769,257.9542883748106,0.4790284559156074,0.1513868521083721,8610084.748944154,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,211.42857142857142,0.6220782331183088,0.8267390758239844,0.3111915320637494,0.26,40315.75296552967,15175.188035164187,15175.188035164187,1547.4385274445592,363.31589911945156,3562.911862099769,257.9542883748106,0.6447883180141963,0.1513868521083721,8610084.748944154,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,211.42857142857142,0.6220782331183088,0.8267390758239844,0.39119153206374935,0.33999999999999997,40315.75296552967,19076.370804380527,19076.370804380527,1945.2484594005628,363.31589911945156,3562.911862099769,257.9542883748106,0.8105481801127851,0.1513868521083721,8610084.748944154,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,213.57142857142856,0.6283830800755889,0.8317052046546823,0.15180838276663994,0.1,41384.211422272994,7553.722368127304,7553.722368127304,770.2653167113443,362.4710316848405,3554.626542872141,257.35443249623677,0.3209549647230002,0.1510348118544646,8697349.121399669,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,213.57142857142856,0.6283830800755889,0.8317052046546823,0.23180838276663993,0.18,41384.211422272994,11534.383899704988,11534.383899704988,1176.1798269240758,362.4710316848405,3554.626542872141,257.35443249623677,0.4900918510391518,0.1510348118544646,8697349.121399669,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,213.57142857142856,0.6283830800755889,0.8317052046546823,0.3118083827666399,0.26,41384.211422272994,15515.045431282673,15515.045431282673,1582.0943371368076,362.4710316848405,3554.626542872141,257.35443249623677,0.6592287373553035,0.1510348118544646,8697349.121399669,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,213.57142857142856,0.6283830800755889,0.8317052046546823,0.3918083827666399,0.33999999999999997,41384.211422272994,19495.706962860357,19495.706962860357,1988.008847349539,362.4710316848405,3554.626542872141,257.35443249623677,0.8283656236714552,0.1510348118544646,8697349.121399669,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,215.71428571428572,0.6346879270328691,0.8368317275971762,0.15244903143319244,0.1,42479.06136336358,7738.582976090518,7738.582976090518,789.1158526194489,361.62616425022946,3546.3412236445124,256.7545766176629,0.32880962591068896,0.1506827716005571,8784613.493855186,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,215.71428571428572,0.6346879270328691,0.8368317275971762,0.23244903143319245,0.18,42479.06136336358,11799.524736540752,11799.524736540752,1203.2166679284724,361.62616425022946,3546.3412236445124,256.7545766176629,0.5013575904701268,0.1506827716005571,8784613.493855186,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,215.71428571428572,0.6346879270328691,0.8368317275971762,0.31244903143319247,0.26,42479.06136336358,15860.466496990986,15860.466496990986,1617.3174832374957,361.62616425022946,3546.3412236445124,256.7545766176629,0.6739055550295647,0.1506827716005571,8784613.493855186,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,215.71428571428572,0.6346879270328691,0.8368317275971762,0.39244903143319243,0.33999999999999997,42479.06136336358,19921.408257441217,19921.408257441217,2031.4182985465188,361.62616425022946,3546.3412236445124,256.7545766176629,0.8464535195890024,0.1506827716005571,8784613.493855186,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,217.85714285714286,0.6409927739901493,0.8421253356881659,0.1531146916047076,0.1,43601.28616465566,7927.558050743575,7927.558050743575,808.3859473666926,360.7812968156184,3538.055904416884,256.15472073908904,0.3368391093180643,0.1503307313466496,8871877.8663107,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,217.85714285714286,0.6409927739901493,0.8421253356881659,0.23311469160470755,0.18,43601.28616465566,12069.581506577559,12069.581506577559,1230.7547946115706,360.7812968156184,3538.055904416884,256.15472073908904,0.5128322061465114,0.1503307313466496,8871877.8663107,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,217.85714285714286,0.6409927739901493,0.8421253356881659,0.31311469160470756,0.26,43601.28616465566,16211.604962411548,16211.604962411548,1653.1236418564492,360.7812968156184,3538.055904416884,256.15472073908904,0.6888253029749588,0.1503307313466496,8871877.8663107,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
110,217.85714285714286,0.6409927739901493,0.8421253356881659,0.3931146916047075,0.33999999999999997,43601.28616465566,20353.62841824553,20353.62841824553,2075.4924891013275,360.7812968156184,3538.055904416884,256.15472073908904,0.8648183998034059,0.1503307313466496,8871877.8663107,1.2120944150966906,339.8745691016025,287.435,100010.53590912784,23535.147289734356,5.0,1.7999999999999998,False
